rec_id,ssn,first_name,middle_name,last_name,gender,current_age,birth_date,street_address,suburb,postcode,state,phone,email,education,occupation,salary,credit_card_number,years_of_experience,employment_timestamp
R38178702,c187321870,kristina,byrd,payton,f,78,30/10/1940, 64  Euston  Terrace , West  Croydon ,5008.0,SA, 08  3134  0855 ,mccorkle4@mail.com,certificate-ii,re-tired,0.0, 5666  2263  9528  7323 ,45,2018-02-17T16:57+00:00
R87958447,e197845784,john,seth,beeler,m,76,24/7/1943, School  House  Lane ,Samaria,3673.0,VIC, 03  6618  1168 ,beeler96@gmail.com,certificate-iii,re-tired,0.0, 2954  2578  6371  3314 ,45,2018-06-23T23:36+00:00
R95069650,b195506069,dylan,henry,rudnitskas,m,47,24/11/1971, 51  Grenda  Drive , Mill  Park ,3082.0,VIC, 03  5895  6909 ,dylan39@yahoo.com,graduate-certificate,chief-executive,114462.0, 1606  4245  9683  0098 ,30,2018-02-18T20:51+00:00
R54701379,b173074915,mihir,p,king,f,20,9/12/1996, 930  Gympie  Road ,Chermside,4032.0,QLD, 07  8700  5070 ,,graduate-diploma,ict-professional,121138.0, 1153  5716  2448  7788 ,5,2016-09-06T07:43+00:00
R55928656,e162986555,eugene,keith,cotten,m,58,19/12/1959, 103  colooli  road  cutler  village ,narrabeen,2101.0,nsw, 02  1018  8981 ,eugene.cotten@hotmail.com,graduate-diploma,ict-professional,123601.0, 9420  8982  5904  3359 ,42,2017-04-21T13:39+00:00
R24722162,g147122262,gulia,,bragg,f,23,20/4/1997, 30  Zeil  Street , Alice  Springs ,870.0,NT, 08  2094  8238 ,bragg58@gmail.com,certificate-i,carer,79650.0, 5074  7949  1748  2560 ,4,2020-07-24T01:38+00:00
R70919811,d190118791,kathy,elaine,gillespie,f,51,2/7/1965, 7  Campbell  Drive ,Hillarys,6025.0,WA, 08  8463  3230 ,,diploma,ict-technician,142787.0, 5344  3837  4620  5243 ,36,2016-07-18T06:39+00:00
R57124953,e194275531,phillip,lee,heath,f,14,14/12/2005, 17  mallam  crescent  john  hawkins  court , alice  springs ,870.0,nt, 08  4582  6509 ,phillip11@mail.com.au,secondary-school,,0.0,,0,2019-02-18T10:06+00:00
R66382762,d162786623,william,lewis,ledbetter,f,44,13/8/1973, 15  Coorabin  Crescent ,Toormina,2452.0,NSW, 02  9927  5479 ,,certificate-ii,personal-services-worker,48091.0, 2133  7213  1329  9410 ,27,2016-01-17T02:20+00:00
R03740691,d164730190,cynthia,thi,lester,f,50,9/4/1970, 10  Bardsley  Crescent ,Toormina,2452.0,NSW, 02  2713  8262 ,cynthia45@yahoo.com,senior-secondary-school,secretary,48558.0, 8488  9989  9560  7948 ,29,2018-05-26T10:07+00:00
R49144632,h132444169,mark,lee,cannady,m,42,16/9/1975, Woombye-Montville  Road ,Palmwoods,4555.0,QLD, 07  4863  0376 ,mark75@mail.com,advance-diploma,other-technician,-9999.0, 2476  1874  5326  2845 ,22,2013-08-19T12:48+00:00
R97144606,i140764961,brandon,,johnson,m,53,25/3/1967, 13  Chippendale  Place ,Helensburgh,2508.0,NSW,,,advance-diploma,other-technician,-9999.0, 2223  3279  9934  3619 ,34,2020-04-03T03:03+00:00
R00789709,c109779008,daniel,edward,locklear,m,51,18/11/1969, 91  main  road  mclaren  vale  lodge , mclaren  vale ,5171.0,sa, 08  1169  6223 ,locklear77@gmail.com,masters-degree,health-professional,92534.0, 0369  7967  6141  4595 ,31,2019-12-03t22:08+00:00
R83077574,b147378705,ralph,antonio,spencer,f,32,16/4/1988, 55  arabian  street  rsl  westhaven ,toowoomba,4350.0,qld, 07  5338  8015 ,spencer85@hotmail.com,senior-secondary-school,taxi-driver,, 3269  5642  2892  4525 ,13,2020-07-27t09:01+00:00
R43449203,g144042339,bobby,matthieu,williamson,f,59,14/3/1960, 25  Culwulla  Street , Hurstville  South ,2221.0,NSW, 02  9939  1090 ,bobby18@aol.com,advance-diploma,health-professional,-9999.0, 5115  0956  8578  5222 ,41,2019-07-17T02:59+00:00
