rec_id,ssn,first_name,middle_name,last_name,gender,age_at_consultation,birth_date,medicare_number,street_address,suburb,postcode,state,phone,email,marital_status,height,weight,bmi,blood_pressure,cholesterol_level,smoking_status,clinical_notes,consultation_timestamp
rec-77760,c166708447,lawrence,lamont,bowen,f,16,28/8/2000, 9266  23839  1  2 , 1  lagoon  road  house  106 ,berrimah,828.0,nt,,bowen.lawrence@yahoo.com,not-married,172,83,28,75,167,0,rhinitis,2016-07-13t23:16+00:00
rec-12140,h123127384,cathy,southerland,fedur,f,48,1/2/1966, 4424  22140  1  1 , 1  dubbo  road  bobarah ,gilgandra,2827.0,nsw, 02  5614  7277 ,fedur.cathy.hotmail.com,married,183,121,36,81,198,0,atrial-fibrillation,2014-06-12t08:05+00:00
rec-38972,c184573109,joan,largent,faw,f,70,19/10/1943, 1710  10559  2  1 , 1315  urila  road  sunnybrae , burra  creek ,2620.0,nsw, 02  4576  9986 ,joan63@mail.com,married,177,148,47,76,104,0,ankle-swelling,2013-06-27t07:14+00:00
rec-59081,h196184323,travis,roger,mulliniks,m,18,26/9/1998, 9517  11710  1  3 , 48  o'connell  street  beau-rivage , kangaroo  point ,4169.0,qld, 07  2637  1997 ,travis.mulliniks@hotmail.com,divorced,172,59,19,78,138,1,osteoporosis,2016-07-18t06:02+00:00
rec-65747,h189888765,robert,phillip,modlin,f,37,23/8/1979, 5170  97779  1  1 , 89  birch  road  adelene  vlge ,wyoming,2250.0,nsw, 02  6146  6265 ,modlin56@hotmail.com,married,188,116,32,81,248,0,back-pain,2016-07-01t10:58+00:00
rec-47056,c180861718,austin,mckillip,harrell,m,64,14/1/1951, 5991  73247  2  1 , 92  macquarie  street  roseville , st  lucia ,,qld, 07  7618  7285 ,austin.harrell@gmail.com,not-married,167,-99,42,74,175,0,poorly-healed-thoracic-fracture,2015-02-24t02:42+00:00
rec-34271,d162651265,trina,myree,sawyer,f,28,7/7/1988, 8343  30105  2  1 , 105  sunrise  avenue  bevington  vlge ,budgewoi,2262.0,nsw,,trina.sawyer@yahoo.com,married,166,114,41,84,156,0,fall,2016-08-17t21:14+00:00
rec-76185,c141459119,david,s,chamberlain,f,27,7/1/1991, 6216  29716  2  2 , 3171  frankford  highway  wisedale ,frankford,,tas,,david.chamberlain@aol.com,married,176,106,34,78,217,0,urinary-frequency,2018-01-23t14:03+00:00
rec-58238,a136417336,dwayne,martin,rambo,m,8,20/4/2012, 2986  33854  1  3 , 469  st  kilda  road  park  central ,melbourne,,vic,,dwayne9@mail.com.au,,129,31,18,75,191,0,dizziness,2020-02-19t17:06+00:00
rec-22082,c131362875,ronald,donald,barnette,m,66,11/2/1948, 4578  44800  1  2 , 16  maud  street  rosetta  village , victor  harbor ,5211.0,sa, 08  2975  0371 ,,married,172,127,42,77,213,1,back-injury-from-fall-down-stairs-on-11/05/11-requiring-hospitalization-until-11/08/11-then-transfer-to-skilled-nursing-facility-for-rehabilitation,2014-07-09t07:56+00:00
rec-42357,e161396779,alan,dale,holder,f,26,27/1/1989, 2272  88092  1  2 , 2  bay  berry  lane  st  vincents  specialists  centre ,robina,4226.0,qld,,alan49.mail.com.au,married,188,96,27,89,165,0,depressed-mood,2017-12-10t23:30+00:00
rec-93536,c196404026,jerome,m,harper,f,35,24/7/1983, 6838  94430  1  2 , 11  canberra  avenue  raaf  base ,richmond,2753.0,nsw, 02  0997  6180 ,,married-de-facto,187,131,37,73,137,1,retinal-vein-occlusion--l-eye,2018-06-06t11:11+00:00
rec-99753,f172327003,lawrence,hamrick,gulledge,f,50,30/12/1965, 7715  39105  1  1 , 17  talara  road  villa  1 ,gymea,2227.0,nsw, 02  9268  7214 ,,married-de-facto,189,136,38,74,183,0,insomnia,2015-01-20t06:59+00:00
rec-56597,b117383336,marquis,glenn,brown,m,18,8/11/1996, 1968  80361  1  2 , 168  wallarah  road  twin  lakes  medical  &  dental  centre ,gorokan,2263.0,nsw, 02  2859  7107 ,marquis.brown@aol.com,married-de-facto,182,78,23,77,200,0,fall,2014-11-11t04:52+00:00
rec-19708,f124465586,susanne,marie,brown,f,34,15/8/1983, 3252  82405  2  1 , 46  warren  street  oak  hill  estate ,kyneton,,vic,,brown99@gmail.com,married,166,135,48,75,154,0,low-energy,2017-04-01t23:18+00:00
rec-27056,d101515355,emily,l,metcalf,f,48,1/12/1967, 4690  87168  1  2 , 2  deakin  place  villa  1 ,kirrawee,2232.0,nsw, 02  8985  4412 ,,married-de-facto,195,140,36,75,201,0,low-back-pain,2015-06-07t09:38+00:00
